id,partner_name,party_type_id,partner_name_ja
186,"INTERPLAY ENTERTAINMENT CORP.",2,
187,"INVICTUS GAMES LTD",2,
188,"INXILE ENTERTAINMENT",2,
189,"IREM SOFTWARE",2,アイレムソフトウェアエンジニアリング株式会社
190,"IRON GALAXY STUDIOS",2,
191,"ISQUARED GAMES LIMITED",2,
192,"IVENT OOD",2,
193,"JALECO ENTERTAINMENT LTD",2,株式会社ジャレコ
194,"JUST ADD WATER (DEVELOPMENT) LIMITED",2,
195,"KALYPSO MEDIA",2,
196,"KARATEKA, LLC",2,
197,"KEYSTONE GAME STUDIO INC.",2,キーストーンゲームスタジオ
198,"KLEI ENTERTAINMENT INC.",2,クレイエンターテインメント
199,"KOCH MEDIA",2,"KOCH MEDIA GMBH"
200,"KODOBUR YAZILIM BILISIM TASARIM ARGE SAN. TIC. LTD. STI.",2,
201,"KONAMI DIGITAL ENTERTAINMENT",2,株式会社コナミデジタルエンタテインメント
202,"KOTOBUKI SYSTEM CO. LTD",2,株式会社コトブキソリューション
203,"KUJU ENTERTAINMENT LTD",2,"KUJU ENTERTAINMENT LTD"
204,"LAST LIMB LLC",2,
205,"LAUGHING JACKAL LTD",2,
206,"LESTA CO. LTD",2,
207,"LEVIATHAN GAMES",2,
208,"LEXIS NUMERIQUE",2,
209,"LIFESPARK ENTERTAINMENT LLC",2,
210,"LLAMASOFT LTD",2,
211,"LOOT INTERACTIVE LLC",2,
212,"LUCASARTS, A DIVISION OF LUCASFILM ENTERTAINMENT COMPANY LTD",2,
213,"LUMENOX EHF",2,
214,"MAD CATZ",2,
215,MAGES,2,株式会社MAGES.
216,"MAGICALTIMEBEAN, INC.",2,
217,MAJESCO,2,
218,"MASS CREATION SP. Z O. O.",2,
219,"MASTERTRONIC GROUP",2,
220,"MASTIFF, LLC",2,
221,"MATT MAKES GAMES",2,"MATT MAKES GAMES INC."
222,"MEDIATONIC LIMITED",2,
223,"MERE MORTALS LTD",2,
224,MESSHOF,2,
225,"METALHEAD SOFTWARE INC.",2,
226,"METANET SOFTWARE",2,"METANET SOFTWARE INC.				"
227,"MICHAELARTS, LLC",2,
228,"MIGHT AND DELIGHT AB",2,
229,MILESTONE,2,
230,"MILKSTONE STUDIOS SL",2,
231,"MINORITY MEDIA",2,
232,MIXEDBAG,2,
233,"MOJANG AB",2,モージャン
234,"MONKEY PAW GAMES INC.",2,
